time,value
186.967072,269.450928
186.990295,358.339966
187.013519,408.404572
187.036728,367.234802
187.059952,310.909637
187.083176,300.241394
187.106400,291.816650
187.129608,265.098755
187.152832,271.916199
187.176056,290.580292
187.199280,305.190338
187.222488,291.662048
187.245712,272.201569
187.268936,260.447693
187.292160,251.743561
187.315369,207.942719
187.338593,103.552223
187.361816,80.145538
187.385040,102.025787
187.408249,94.700256
187.431473,82.889633
187.454697,76.907494
187.477921,74.938873
187.501129,82.756187
187.524353,86.473267
187.547577,76.885559
187.570801,54.856739
187.594009,84.141624
187.617233,137.466278
187.640457,171.578186
187.663681,200.602203
187.686890,181.786667
187.710114,143.837509
187.733337,187.804626
187.756546,223.270309
187.779770,179.027237
187.802994,112.676300
187.826218,127.823502
187.849426,112.295509
187.872650,54.588963
187.895874,110.646408
187.919098,233.574188
187.942307,361.460754
187.965530,440.121796
187.988754,407.204376
188.011978,301.166748
188.035187,217.915146
188.058411,173.680756
188.081635,163.955902
188.104858,167.020218
188.128067,165.999298
188.151291,167.877640
188.174515,181.365021
188.197739,181.927338
188.220947,204.418427
188.244171,288.843353
188.267395,407.136963
188.290619,456.419403
188.313828,383.005402
188.337051,272.894104
188.360275,229.175690
188.383499,208.360153
188.406708,183.251938
188.429932,177.788803
188.453156,186.716522
188.476379,186.360687
188.499588,171.615341
188.522812,165.579147
188.546036,156.140274
188.569244,178.343796
188.592468,168.556305
188.615692,93.045341
188.638916,93.591888
188.662125,112.605400
188.685349,96.479294
188.708572,90.371704
188.731796,77.151268
188.755005,76.485634
188.778229,93.621201
188.801453,84.706314
188.824677,59.479313
188.847885,45.100197
188.871109,85.620834
188.894333,99.379128
188.917557,84.843155
188.940765,64.674881
188.963989,64.513908
188.987213,83.180580
189.010437,75.674759
189.033646,60.380108
189.056870,46.943680
189.080093,74.646378
189.103317,90.100494
189.126526,76.953262
189.149750,58.363987
189.172974,165.898438
189.196198,301.744385
189.219406,360.706512
189.242630,375.586548
189.265854,358.019867
189.289078,310.477783
189.312286,302.875183
189.335510,241.194321
189.358734,265.518646
189.381943,347.016449
189.405167,321.876892
189.428391,291.233612
189.451614,280.912750
189.474823,253.148132
189.498047,271.428009
189.521271,303.470184
189.544495,295.317291
189.567703,358.481995
189.590927,378.924133
189.614151,320.062073
189.637375,230.214752
189.660583,97.699486
189.683807,45.681694
189.707031,54.099758
189.730255,60.569519
189.753464,54.651890
189.776688,44.473186
189.799911,95.717850
189.823135,223.324280
189.846344,291.474792
189.869568,225.434265
189.892792,99.242790
189.916016,148.762924
189.939224,273.965027
189.962448,259.938934
189.985672,110.588028
190.008896,96.414474
190.032104,208.404144
190.055328,363.861450
190.078552,435.083496
190.101776,363.846161
190.124985,273.005646
190.148209,234.962402
190.171432,188.881409
190.194641,173.216446
190.217865,183.250961
190.241089,197.990768
190.264313,217.105988
190.287521,212.409256
190.310745,220.978912
190.333969,257.697693
190.357193,331.273407
190.380402,413.131195
190.403625,435.645996
190.426849,356.243408
190.450073,262.720551
190.473282,243.054626
190.496506,203.808380
190.519730,172.248932
190.542953,177.647400
190.566162,191.382660
190.589386,191.937683
190.612610,181.534454
190.635834,172.972794
190.659042,172.862442
190.682266,185.144302
190.705490,162.013626
190.728714,90.040848
190.751923,92.112732
190.775146,103.478851
190.798370,85.144753
190.821594,81.653610
190.844803,70.511665
190.868027,78.092636
190.891251,91.822052
190.914474,92.826340
190.937683,75.571625
190.960907,51.577286
190.984131,98.992729
191.007339,134.844589
191.030563,198.964264
191.053787,193.200821
191.077011,138.710709
191.100220,161.521667
191.123444,195.760269
191.146667,200.465103
191.169891,161.407303
191.193100,130.275146
191.216324,118.433388
191.239548,88.930382
191.262772,46.604683
191.285980,140.290680
191.309204,319.510986
191.332428,430.072296
191.355652,444.011688
191.378860,356.823517
191.402084,256.261505
191.425308,225.898178
191.448532,172.713074
191.471741,164.104752
191.494965,163.721725
191.518188,177.851364
191.541412,192.925079
191.564621,185.908829
191.587845,184.938156
191.611069,221.346725
191.634293,330.733612
191.657501,424.633575
191.680725,396.522339
191.703949,324.886169
191.727173,306.720612
191.750381,280.136108
191.773605,258.332794
191.796829,270.952026
191.820038,303.473846
191.843262,297.101654
191.866486,275.089722
191.889709,261.528687
191.912918,254.196411
191.936142,318.691864
191.959366,332.717224
191.982590,220.707397
